name,landmark_id,x,y,z,qx,qy,qz,qw,travel_time,waypoints
Mission 0,0,4.27,3.82,0,0,0,0,1,5,[[7.75;3.71;0;0][7.75;-0.33;0;0][0.56;-0.33;0;0]]
Mission 1,1,-1,-0.22,0,0,0,0,1,5,[[-1.56;-0.11;0;0][-1.67;3.71;0;0][3.95;3.71;0;0]]
