name,landmark_id,x,y,z,qx,qy,qz,qw,travel_time,waypoints
Mission 0,0,4.3,4.4,0.0,0.0,0.0,0.0,1.0,5.0,[[7.75;4.4;0.0;0.0][7.75;-0.33;0.0;0.0][0.56;-0.33;0.0;0.0]]
Mission 1,1,0.2,-0.22,0.0,0.0,0.0,0.0,1.0,5.0,[[-1.56;-0.28;0.0;0.0][-1.67;4.4;0.0;0.0][3.95;4.4;0.0;0.0]]
