name,landmark_id,x,y,z,qx,qy,qz,qw,travel_time,waypoints
Mission 0,0,3.9,-8.66,0.0,0.0,0.0,0.0,1.0,5.0,[[1.83;-6.22;0.0;0.0;0.0;0.0][1.83;8.17;0.0;0.0;0.0;0.0]]
Mission 1,1,3.66,8.17,0.0,0.0,0.0,0.0,1.0,5.0,[[2.07;-2.44;0.0;0.0;0.0;0.0]]
