name,landmark_id,x,y,z,qx,qy,qz,qw,travel_time,waypoints
Mission 0,0,6.88,3.64,0,0,0,0,1,5,[[8.43;0.83;0;0][5.97;-1.86;0;0][-0.05;-1.86;0;0]]
Mission 1,1,-1.25,-1.12,0,0,0,0,1,5,[[-2.07;4.04;0;0][6.37;3.64;0;0]]
